Paper ID,Publishable,Conference,Rationale
P001.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.29.
P002.pdf,0,na,na
P003.pdf,0,na,na
P004.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.47.
P005.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.29.
P006.pdf,0,na,na
P007.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.43.
P008.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.55.
P009.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.42.
P010.pdf,1,KDD,The paper aligns with KDD due to its similarity with reference papers in that conference. Similarity score: 0.51.
P011.pdf,1,KDD,The paper aligns with KDD due to its similarity with reference papers in that conference. Similarity score: 0.26.
P012.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.34.
P013.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.48.
P014.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.41.
P015.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.38.
P016.pdf,0,na,na
P017.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.50.
P018.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.44.
P019.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.33.
P020.pdf,0,na,na
P021.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.52.
P022.pdf,0,na,na
P023.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.32.
P024.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.48.
P025.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.42.
P026.pdf,0,na,na
P027.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.36.
P028.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.40.
P029.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.33.
P030.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.29.
P031.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.32.
P032.pdf,0,na,na
P033.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.49.
P034.pdf,1,TMLR,The paper aligns with TMLR due to its similarity with reference papers in that conference. Similarity score: 0.39.
P035.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.42.
P036.pdf,0,na,na
P037.pdf,1,EMNLP,The paper aligns with EMNLP due to its similarity with reference papers in that conference. Similarity score: 0.46.
P038.pdf,0,na,na
P039.pdf,0,na,na
P040.pdf,1,NeurIPS,The paper aligns with NeurIPS due to its similarity with reference papers in that conference. Similarity score: 0.35.
P041.pdf,0,na,na
P042.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.38.
P043.pdf,0,na,na
P044.pdf,1,CVPR,The paper aligns with CVPR due to its similarity with reference papers in that conference. Similarity score: 0.42.
